Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM
DA56	DA56	1	4	SE	Homo sapiens	double	none	inputs/ERR2505948.fastq.gz	NA	NA
DA57	DA57	1	4	SE	Homo sapiens	double	none	inputs/ERR2505949.fastq.gz	NA	NA
DA58	DA58	1	4	SE	Homo sapiens	double	none	inputs/ERR2505950.fastq.gz	NA	NA
DA59	DA59	1	4	SE	Homo sapiens	double	none	inputs/ERR2505951.fastq.gz	NA	NA
DA6	DA6	1	4	SE	Homo sapiens	double	none	inputs/ERR2505957.fastq.gz	NA	NA
DA65	DA65	1	4	SE	Homo sapiens	double	none	inputs/ERR2505953.fastq.gz	NA	NA
DA66	DA66	1	4	SE	Homo sapiens	double	none	inputs/ERR2505954.fastq.gz	NA	NA
DA68	DA68	1	4	SE	Homo sapiens	double	none	inputs/ERR2505955.fastq.gz	NA	NA
DA69	DA69	1	4	SE	Homo sapiens	double	none	inputs/ERR2505956.fastq.gz	NA	NA
DA7	DA7	1	4	SE	Homo sapiens	double	none	inputs/ERR2505963.fastq.gz	NA	NA
DA70	DA70	1	4	SE	Homo sapiens	double	none	inputs/ERR2505958.fastq.gz	NA	NA
DA71	DA71	1	4	SE	Homo sapiens	double	none	inputs/ERR2505959.fastq.gz	NA	NA
DA72	DA72	1	4	SE	Homo sapiens	double	none	inputs/ERR2505960.fastq.gz	NA	NA
DA73	DA73	1	4	SE	Homo sapiens	double	none	inputs/ERR2505961.fastq.gz	NA	NA
DA74	DA74	1	4	SE	Homo sapiens	double	none	inputs/ERR2505962.fastq.gz	NA	NA
DA8	DA8	1	4	SE	Homo sapiens	double	none	inputs/ERR2505971.fastq.gz	NA	NA
DA80	DA80	1	4	SE	Homo sapiens	double	none	inputs/ERR2505964.fastq.gz	NA	NA
DA81	DA81	1	4	SE	Homo sapiens	double	none	inputs/ERR2505965.fastq.gz	NA	NA
DA82	DA82	1	4	SE	Homo sapiens	double	none	inputs/ERR2505966.fastq.gz	NA	NA
DA85	DA85	1	4	SE	Homo sapiens	double	none	inputs/ERR2505967.fastq.gz	NA	NA
DA86	DA86	1	4	SE	Homo sapiens	double	none	inputs/ERR2505968.fastq.gz	NA	NA
DA87	DA87	1	4	SE	Homo sapiens	double	none	inputs/ERR2505969.fastq.gz	NA	NA
DA89	DA89	1	4	SE	Homo sapiens	double	none	inputs/ERR2505970.fastq.gz	NA	NA
DA9	DA9	1	4	SE	Homo sapiens	double	none	inputs/ERR2505979.fastq.gz	NA	NA
DA92	DA92	1	4	SE	Homo sapiens	double	none	inputs/ERR2505972.fastq.gz	NA	NA
DA93	DA93	1	4	SE	Homo sapiens	double	none	inputs/ERR2505973.fastq.gz	NA	NA
DA94	DA94	1	4	SE	Homo sapiens	double	none	inputs/ERR2505974.fastq.gz	NA	NA
DA95	DA95	1	4	SE	Homo sapiens	double	none	inputs/ERR2505975.fastq.gz	NA	NA
DA96	DA96	1	4	SE	Homo sapiens	double	none	inputs/ERR2505976.fastq.gz	NA	NA
DA98	DA98	1	4	SE	Homo sapiens	double	none	inputs/ERR2505977.fastq.gz	NA	NA
DA99	DA99	1	4	SE	Homo sapiens	double	none	inputs/ERR2505978.fastq.gz	NA	NA
